Date,Type,Action,Symbol,Instrument Type,Description,Value,Quantity,Average Price,Commissions,Fees,Multiplier,Root Symbol,Underlying Symbol,Expiration Date,Strike Price,Call or Put,Order #
2023-02-10T20:14:15+0100,Trade,SELL_TO_CLOSE,NIO   230317P00012500,Equity Option,Sold 1 NIO 03/17/23 Put 12.50 @ 2.52,252.00,1,252.00,0.00,-0.142,100,NIO,NIO,3/17/23,12.5,PUT,254760877
2023-02-10T20:14:15+0100,Trade,BUY_TO_CLOSE,NIO   230317P00010000,Equity Option,Bought 1 NIO 03/17/23 Put 10.00 @ 0.86,-86.00,1,-86.00,0.00,-0.13,100,NIO,NIO,3/17/23,10.0,PUT,254760877
2023-02-10T20:08:37+0100,Trade,SELL_TO_CLOSE,SNAP  230324P00013000,Equity Option,Sold 2 SNAP 03/24/23 Put 13.00 @ 2.62,524.00,2,262.00,0.00,-0.285,100,SNAP,SNAP,3/24/23,13.0,PUT,254759120
2023-02-10T20:08:37+0100,Trade,BUY_TO_CLOSE,SNAP  230324P00010500,Equity Option,Bought 2 SNAP 03/24/23 Put 10.50 @ 0.90,-180.00,2,-90.00,0.00,-0.26,100,SNAP,SNAP,3/24/23,10.5,PUT,254759120
2023-02-10T20:02:48+0100,Trade,SELL_TO_CLOSE,UAL   230317P00055000,Equity Option,Sold 1 UAL 03/17/23 Put 55.00 @ 6.35,635.00,1,635.00,0.00,-0.152,100,UAL,UAL,3/17/23,55.0,PUT,254750755
2023-02-10T20:02:48+0100,Trade,BUY_TO_CLOSE,UAL   230317P00049000,Equity Option,Bought 1 UAL 03/17/23 Put 49.00 @ 2.30,-230.00,1,-230.00,0.00,-0.13,100,UAL,UAL,3/17/23,49.0,PUT,254750755
2023-02-10T18:54:31+0100,Trade,BUY_TO_OPEN,SQ    230317C00080000,Equity Option,Bought 1 SQ 03/17/23 Call 80.00 @ 4.90,-490.00,1,-490.00,-1.00,-0.13,100,SQ,SQ,3/17/23,80.0,CALL,254726467
2023-02-10T18:54:31+0100,Trade,SELL_TO_OPEN,SQ    230317C00075000,Equity Option,Sold 1 SQ 03/17/23 Call 75.00 @ 7.05,705.00,1,705.00,-1.00,-0.152,100,SQ,SQ,3/17/23,75.0,CALL,254726467
2023-02-10T18:32:42+0100,Trade,SELL_TO_OPEN,TSLA  230324C00230000,Equity Option,Sold 1 TSLA 03/24/23 Call 230.00 @ 7.04,704.00,1,704.00,-1.00,-0.152,100,TSLA,TSLA,3/24/23,230.0,CALL,254725546
2023-02-10T18:32:42+0100,Trade,SELL_TO_OPEN,TSLA  230324P00155000,Equity Option,Sold 1 TSLA 03/24/23 Put 155.00 @ 4.48,448.00,1,448.00,-1.00,-0.152,100,TSLA,TSLA,3/24/23,155.0,PUT,254725546
2023-02-10T18:32:42+0100,Trade,BUY_TO_OPEN,TSLA  230324C00235000,Equity Option,Bought 1 TSLA 03/24/23 Call 235.00 @ 6.15,-615.00,1,-615.00,-1.00,-0.13,100,TSLA,TSLA,3/24/23,235.0,CALL,254725546
2023-02-10T18:32:42+0100,Trade,BUY_TO_OPEN,TSLA  230324P00150000,Equity Option,Bought 1 TSLA 03/24/23 Put 150.00 @ 3.67,-367.00,1,-367.00,-1.00,-0.13,100,TSLA,TSLA,3/24/23,150.0,PUT,254725546
2023-02-10T18:28:59+0100,Trade,BUY_TO_CLOSE,SLV   230317C00022500,Equity Option,Bought 1 SLV 03/17/23 Call 22.50 @ 0.12,-12.00,1,-12.00,0.00,-0.13,100,SLV,SLV,3/17/23,22.5,CALL,254723944
2023-02-10T18:28:59+0100,Trade,SELL_TO_OPEN,SLV   230317C00021000,Equity Option,Sold 1 SLV 03/17/23 Call 21.00 @ 0.42,42.00,1,42.00,-1.00,-0.142,100,SLV,SLV,3/17/23,21.0,CALL,254723944
2023-02-10T18:17:19+0100,Trade,BUY_TO_OPEN,FCX   230317C00043000,Equity Option,Bought 1 FCX 03/17/23 Call 43.00 @ 1.86,-186.00,1,-186.00,-1.00,-0.13,100,FCX,FCX,3/17/23,43.0,CALL,254718837
2023-02-10T18:17:19+0100,Trade,SELL_TO_OPEN,FCX   230317C00041000,Equity Option,Sold 1 FCX 03/17/23 Call 41.00 @ 2.88,288.00,1,288.00,-1.00,-0.142,100,FCX,FCX,3/17/23,41.0,CALL,254718837
2023-02-10T18:14:12+0100,Trade,SELL_TO_OPEN,GDX   230317C00029000,Equity Option,Sold 1 GDX 03/17/23 Call 29.00 @ 1.54,154.00,1,154.00,-1.00,-0.142,100,GDX,GDX,3/17/23,29.0,CALL,254717111
2023-02-10T18:14:12+0100,Trade,BUY_TO_OPEN,GDX   230317C00031000,Equity Option,Bought 1 GDX 03/17/23 Call 31.00 @ 0.68,-68.00,1,-68.00,-1.00,-0.13,100,GDX,GDX,3/17/23,31.0,CALL,254717111
2023-02-10T18:09:30+0100,Trade,BUY_TO_CLOSE,TLT   230317C00107000,Equity Option,Bought 1 TLT 03/17/23 Call 107.00 @ 0.89,-89.00,1,-89.00,0.00,-0.13,100,TLT,TLT,3/17/23,107.0,CALL,254714958
2023-02-10T18:09:30+0100,Trade,SELL_TO_OPEN,TLT   230317C00103000,Equity Option,Sold 1 TLT 03/17/23 Call 103.00 @ 2.46,246.00,1,246.00,-1.00,-0.142,100,TLT,TLT,3/17/23,103.0,CALL,254714958
2023-02-09T17:22:42+0100,Trade,SELL_TO_CLOSE,RIOT  230224C00010000,Equity Option,Sold 1 RIOT 02/24/23 Call 10.00 @ 0.03,3.00,1,3.00,0.00,-0.142,100,RIOT,RIOT,2/24/23,10.0,CALL,254461389
2023-02-09T17:22:42+0100,Trade,BUY_TO_CLOSE,RIOT  230224C00008000,Equity Option,Bought 1 RIOT 02/24/23 Call 8.00 @ 0.11,-11.00,1,-11.00,0.00,-0.13,100,RIOT,RIOT,2/24/23,8.0,CALL,254461389
2023-02-08T20:38:02+0100,Trade,SELL_TO_OPEN,SNAP  230324P00010500,Equity Option,Sold 2 SNAP 03/24/23 Put 10.50 @ 0.51,102.00,2,51.00,-2.00,-0.275,100,SNAP,SNAP,3/24/23,10.5,PUT,254321492
2023-02-08T20:38:02+0100,Trade,BUY_TO_OPEN,SNAP  230324P00013000,Equity Option,Bought 2 SNAP 03/24/23 Put 13.00 @ 1.81,-362.00,2,-181.00,-2.00,-0.26,100,SNAP,SNAP,3/24/23,13.0,PUT,254321492
2023-02-08T20:18:46+0100,Trade,SELL_TO_OPEN,TLT   230317C00107000,Equity Option,Sold 1 TLT 03/17/23 Call 107.00 @ 1.56,156.00,1,156.00,-1.00,-0.142,100,TLT,TLT,3/17/23,107.0,CALL,254315945
2023-02-08T20:18:46+0100,Trade,BUY_TO_CLOSE,TLT   230317C00108000,Equity Option,Bought 1 TLT 03/17/23 Call 108.00 @ 1.22,-122.00,1,-122.00,0.00,-0.13,100,TLT,TLT,3/17/23,108.0,CALL,254315945
2023-02-08T20:16:10+0100,Trade,BUY_TO_CLOSE,FCX   230317C00047000,Equity Option,Bought 1 FCX 03/17/23 Call 47.00 @ 0.97,-97.00,1,-97.00,0.00,-0.13,100,FCX,FCX,3/17/23,47.0,CALL,254314974
2023-02-08T20:16:10+0100,Trade,SELL_TO_OPEN,FCX   230317C00045000,Equity Option,Sold 1 FCX 03/17/23 Call 45.00 @ 1.62,162.00,1,162.00,-1.00,-0.142,100,FCX,FCX,3/17/23,45.0,CALL,254314974
2023-02-08T20:10:44+0100,Trade,SELL_TO_CLOSE,AAL   230317P00017000,Equity Option,Sold 1 AAL 03/17/23 Put 17.00 @ 0.81,81.00,1,81.00,0.00,-0.142,100,AAL,AAL,3/17/23,17.0,PUT,254313266
2023-02-08T20:10:44+0100,Trade,BUY_TO_OPEN,AAL   230317P00013000,Equity Option,Bought 1 AAL 03/17/23 Put 13.00 @ 0.06,-6.00,1,-6.00,-1.00,-0.13,100,AAL,AAL,3/17/23,13.0,PUT,254313266
2023-02-08T20:03:48+0100,Trade,SELL_TO_OPEN,SLV   230324C00021500,Equity Option,Sold 1 SLV 03/24/23 Call 21.50 @ 0.47,47.00,1,47.00,-1.00,-0.142,100,SLV,SLV,3/24/23,21.5,CALL,254311573
